Wt ,abs(pv("V0" "i" ?result "dcOpInfo")) R 8166.06  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 8457.705  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 8749.35  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 9040.995  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 9332.64  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 9624.285  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 9915.93  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 10207.58  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 10499.22  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 10790.86  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 11082.51  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 11374.16  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 11665.8  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 11957.44  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 12249.09  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 12540.74  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 12832.38  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 13124.02  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 13415.67  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 13707.31  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 13998.96  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 14290.6  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 14582.25  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 14873.89  (A),abs(pv("V0" "i" ?result "dcOpInfo")) R 15165.54  (A)
700.0E-9,988.2E-6,990.0E-6,991.7E-6,993.3E-6,995.0E-6,996.5E-6,998.0E-6,999.5E-6,1.001E-3,1.002E-3,1.004E-3,1.005E-3,1.006E-3,1.007E-3,1.009E-3,1.010E-3,1.011E-3,1.012E-3,1.013E-3,1.014E-3,1.015E-3,1.016E-3,1.017E-3,1.018E-3,1.018E-3
725.0E-9,992.1E-6,993.9E-6,995.6E-6,997.2E-6,998.9E-6,1.000E-3,1.002E-3,1.003E-3,1.005E-3,1.006E-3,1.008E-3,1.009E-3,1.010E-3,1.011E-3,1.012E-3,1.014E-3,1.015E-3,1.016E-3,1.017E-3,1.018E-3,1.019E-3,1.019E-3,1.020E-3,1.021E-3,1.022E-3
750.0E-9,996.0E-6,997.7E-6,999.4E-6,1.001E-3,1.003E-3,1.004E-3,1.006E-3,1.007E-3,1.009E-3,1.010E-3,1.011E-3,1.013E-3,1.014E-3,1.015E-3,1.016E-3,1.017E-3,1.018E-3,1.019E-3,1.020E-3,1.021E-3,1.022E-3,1.023E-3,1.024E-3,1.024E-3,1.025E-3
775.0E-9,999.7E-6,1.001E-3,1.003E-3,1.005E-3,1.006E-3,1.008E-3,1.009E-3,1.011E-3,1.012E-3,1.014E-3,1.015E-3,1.016E-3,1.017E-3,1.018E-3,1.020E-3,1.021E-3,1.022E-3,1.023E-3,1.024E-3,1.024E-3,1.025E-3,1.026E-3,1.027E-3,1.028E-3,1.028E-3
800.0E-9,1.003E-3,1.005E-3,1.007E-3,1.008E-3,1.010E-3,1.012E-3,1.013E-3,1.014E-3,1.016E-3,1.017E-3,1.018E-3,1.020E-3,1.021E-3,1.022E-3,1.023E-3,1.024E-3,1.025E-3,1.026E-3,1.027E-3,1.028E-3,1.029E-3,1.029E-3,1.030E-3,1.031E-3,1.031E-3
825.0E-9,1.007E-3,1.009E-3,1.010E-3,1.012E-3,1.014E-3,1.015E-3,1.017E-3,1.018E-3,1.019E-3,1.021E-3,1.022E-3,1.023E-3,1.024E-3,1.025E-3,1.026E-3,1.027E-3,1.028E-3,1.029E-3,1.030E-3,1.031E-3,1.032E-3,1.032E-3,1.033E-3,1.034E-3,1.034E-3
850.0E-9,1.011E-3,1.013E-3,1.014E-3,1.016E-3,1.017E-3,1.019E-3,1.020E-3,1.022E-3,1.023E-3,1.024E-3,1.025E-3,1.027E-3,1.028E-3,1.029E-3,1.030E-3,1.031E-3,1.032E-3,1.033E-3,1.033E-3,1.034E-3,1.035E-3,1.036E-3,1.036E-3,1.037E-3,1.037E-3
875.0E-9,1.014E-3,1.016E-3,1.018E-3,1.019E-3,1.021E-3,1.022E-3,1.024E-3,1.025E-3,1.026E-3,1.028E-3,1.029E-3,1.030E-3,1.031E-3,1.032E-3,1.033E-3,1.034E-3,1.035E-3,1.036E-3,1.036E-3,1.037E-3,1.038E-3,1.038E-3,1.039E-3,1.040E-3,1.040E-3
900.0E-9,1.018E-3,1.019E-3,1.021E-3,1.023E-3,1.024E-3,1.026E-3,1.027E-3,1.028E-3,1.030E-3,1.031E-3,1.032E-3,1.033E-3,1.034E-3,1.035E-3,1.036E-3,1.037E-3,1.038E-3,1.039E-3,1.039E-3,1.040E-3,1.041E-3,1.041E-3,1.042E-3,1.042E-3,1.043E-3
925.0E-9,1.021E-3,1.023E-3,1.024E-3,1.026E-3,1.027E-3,1.029E-3,1.030E-3,1.032E-3,1.033E-3,1.034E-3,1.035E-3,1.036E-3,1.037E-3,1.038E-3,1.039E-3,1.040E-3,1.041E-3,1.041E-3,1.042E-3,1.043E-3,1.043E-3,1.044E-3,1.044E-3,1.045E-3,1.045E-3
950.0E-9,1.024E-3,1.026E-3,1.028E-3,1.029E-3,1.031E-3,1.032E-3,1.033E-3,1.035E-3,1.036E-3,1.037E-3,1.038E-3,1.039E-3,1.040E-3,1.041E-3,1.042E-3,1.043E-3,1.044E-3,1.044E-3,1.045E-3,1.045E-3,1.046E-3,1.046E-3,1.047E-3,1.047E-3,1.048E-3
975.0E-9,1.028E-3,1.029E-3,1.031E-3,1.032E-3,1.034E-3,1.035E-3,1.037E-3,1.038E-3,1.039E-3,1.040E-3,1.041E-3,1.042E-3,1.043E-3,1.044E-3,1.045E-3,1.046E-3,1.046E-3,1.047E-3,1.048E-3,1.048E-3,1.048E-3,1.049E-3,1.049E-3,1.050E-3,1.050E-3
1.000E-6,1.031E-3,1.033E-3,1.034E-3,1.036E-3,1.037E-3,1.038E-3,1.040E-3,1.041E-3,1.042E-3,1.043E-3,1.044E-3,1.045E-3,1.046E-3,1.047E-3,1.048E-3,1.048E-3,1.049E-3,1.050E-3,1.050E-3,1.051E-3,1.051E-3,1.051E-3,1.052E-3,1.052E-3,1.052E-3
1.025E-6,1.034E-3,1.036E-3,1.037E-3,1.039E-3,1.040E-3,1.041E-3,1.043E-3,1.044E-3,1.045E-3,1.046E-3,1.047E-3,1.048E-3,1.049E-3,1.050E-3,1.050E-3,1.051E-3,1.052E-3,1.052E-3,1.053E-3,1.053E-3,1.053E-3,1.054E-3,1.054E-3,1.054E-3,1.054E-3
1.050E-6,1.037E-3,1.039E-3,1.040E-3,1.042E-3,1.043E-3,1.045E-3,1.046E-3,1.047E-3,1.048E-3,1.049E-3,1.050E-3,1.051E-3,1.052E-3,1.052E-3,1.053E-3,1.054E-3,1.054E-3,1.055E-3,1.055E-3,1.055E-3,1.056E-3,1.056E-3,1.056E-3,1.056E-3,1.056E-3
1.075E-6,1.040E-3,1.042E-3,1.044E-3,1.045E-3,1.046E-3,1.047E-3,1.049E-3,1.050E-3,1.051E-3,1.052E-3,1.053E-3,1.053E-3,1.054E-3,1.055E-3,1.056E-3,1.056E-3,1.057E-3,1.057E-3,1.057E-3,1.058E-3,1.058E-3,1.058E-3,1.058E-3,1.058E-3,1.058E-3
1.100E-6,1.043E-3,1.045E-3,1.046E-3,1.048E-3,1.049E-3,1.050E-3,1.052E-3,1.053E-3,1.054E-3,1.054E-3,1.055E-3,1.056E-3,1.057E-3,1.057E-3,1.058E-3,1.058E-3,1.059E-3,1.059E-3,1.060E-3,1.060E-3,1.060E-3,1.060E-3,1.060E-3,1.060E-3,1.060E-3
1.125E-6,1.046E-3,1.048E-3,1.049E-3,1.051E-3,1.052E-3,1.053E-3,1.054E-3,1.055E-3,1.056E-3,1.057E-3,1.058E-3,1.059E-3,1.059E-3,1.060E-3,1.060E-3,1.061E-3,1.061E-3,1.061E-3,1.062E-3,1.062E-3,1.062E-3,1.062E-3,1.062E-3,1.062E-3,1.062E-3
1.150E-6,1.049E-3,1.051E-3,1.052E-3,1.054E-3,1.055E-3,1.056E-3,1.057E-3,1.058E-3,1.059E-3,1.060E-3,1.060E-3,1.061E-3,1.062E-3,1.062E-3,1.063E-3,1.063E-3,1.063E-3,1.064E-3,1.064E-3,1.064E-3,1.064E-3,1.064E-3,1.064E-3,1.064E-3,1.063E-3
